803,1959,1054,2383
1463,1944,1711,2364
1684,1938,1926,2343
1033,1981,1279,2384
571,2012,835,2395
2306,1962,2545,2324
2314,1387,2547,1753
1255,1951,1485,2371
2698,1343,2932,1740
1908,1354,2136,1752
2091,1971,2347,2333
1682,1390,1923,1757
1890,1962,2147,2336
1449,1383,1687,1757
1018,1393,1273,1775
786,771,1049,1142
1033,769,1279,1143
1239,1355,1480,1761
329,2013,605,2411
2106,1386,2334,1760
550,752,798,1145
783,1405,1050,1759
68,693,327,1141
2939,755,3162,1133
2328,786,2561,1133
2738,770,2960,1130
