2600,1989,2842,2347
2819,1992,3056,2364
2605,1415,2844,1736
1982,2004,2219,2367
2419,1428,2658,1735
524,1997,772,2354
2823,1400,3056,1740
1590,1990,1859,2340
329,1981,567,2352
335,1377,568,1767
2208,2003,2432,2353
2213,1436,2443,1737
971,2002,1207,2343
2392,1984,2612,2354
335,246,577,553
562,1423,793,1754
1370,1976,1621,2343
2421,844,2651,1177
2620,842,2853,1174
2004,817,2221,1188
786,831,1011,1166
2001,1445,2225,1765
571,808,802,1166
338,805,586,1172
562,246,799,554
982,838,1217,1171
2447,235,2662,577
2218,842,2437,1176
745,2000,991,2355
2836,836,3059,1181
2222,253,2443,581
1592,1423,1829,1742
98,213,348,564
2006,239,2234,594
2631,251,2854,596
1374,1430,1608,1753
973,1438,1183,1737
776,240,1010,564
1614,820,1849,1172
137,1966,376,2357
