2211,381,2410,682
1700,380,1905,673
2068,1895,2260,2216
2768,1890,2953,2193
2402,1400,2580,1690
2234,1889,2430,2209
2225,1400,2412,1691
2396,382,2595,685
979,1424,1173,1724
2563,393,2767,690
2732,1380,2918,1682
2371,883,2569,1185
2396,1896,2600,2212
2566,1889,2764,2201
1513,1418,1719,1714
559,1946,789,2304
346,1971,575,2332
1700,1917,1898,2231
583,1433,775,1738
950,364,1169,654
1519,1935,1718,2239
1167,1418,1361,1725
1522,366,1718,668
2019,890,2212,1180
966,1911,1179,2268
1710,890,1914,1179
2728,895,2899,1181
786,1426,981,1735
555,334,785,662
1514,883,1717,1187
344,313,578,662
764,363,975,656
1158,1931,1372,2290
1172,871,1368,1190
2037,1412,2215,1699
2560,889,2736,1185
368,1401,580,1755
364,821,583,1187
