944,1412,1199,1812
2210,1482,2466,1834
1355,1467,1624,1838
707,1435,967,1804
2435,1464,2702,1828
2671,1436,2939,1809
934,866,1166,1229
2650,867,2906,1237
1578,1465,1835,1844
1994,873,2243,1244
2445,857,2679,1231
1356,857,1602,1235
691,875,935,1224
465,1468,736,1820
2002,1467,2245,1856
2238,887,2468,1235
452,860,705,1232
1580,865,1834,1228
2870,861,3123,1240
2902,1411,3141,1810
913,266,1151,618
2468,261,2709,598
1356,257,1600,621
2240,265,2481,608
2679,243,2919,592
259,1435,517,1816
2036,268,2269,623
1574,257,1808,608
