1831,667,1975,898
1640,1610,1771,1846
1555,666,1694,892
670,674,829,885
2135,652,2269,890
1975,670,2121,899
647,1146,809,1371
1135,674,1294,894
2150,206,2290,419
965,670,1130,885
2211,2077,2378,2304
1691,675,1826,896
1475,1609,1618,1850
1767,1615,1901,1841
2034,1123,2191,1350
1158,1138,1316,1371
659,185,809,391
645,1634,813,1853
2053,2074,2225,2305
1915,1599,2068,1840
1339,1604,1492,1853
1860,1120,2022,1353
1517,1133,1676,1360
870,182,1019,394
851,1144,1015,1365
1668,1133,1823,1358
1924,2057,2085,2303
1160,195,1320,407
1766,2064,1924,2309
1353,1133,1516,1358
1364,206,1520,412
811,665,968,880
1394,661,1534,885
2201,1556,2384,1831
1656,215,1817,419
481,2090,667,2363
1508,210,1668,416
1468,2089,1627,2338
1855,217,2009,430
477,1634,640,1860
1636,2077,1799,2320
480,1138,651,1369
511,660,674,882
814,2119,996,2374
649,2114,826,2368
2000,214,2147,423
348,1627,489,1863
341,644,511,875
1009,2102,1185,2360
1007,1136,1164,1369
2051,1581,2223,1826
1332,2066,1489,2329
