804,1438,984,1707
233,1998,410,2286
2133,1488,2318,1750
1710,2069,1888,2345
2302,1494,2495,1757
727,2025,900,2314
2476,1484,2669,1757
873,2025,1053,2327
1953,1477,2135,1745
555,2029,734,2303
835,240,983,494
1832,251,1996,499
975,1453,1161,1704
1642,1470,1798,1741
2002,251,2180,494
1882,2085,2068,2357
2647,1464,2845,1767
328,1424,497,1689
652,1439,821,1713
477,1430,648,1701
1503,236,1677,502
998,236,1157,489
1324,236,1495,501
2395,2113,2570,2391
1198,2060,1397,2337
1484,1473,1641,1737
1806,1472,1980,1746
485,230,659,484
1132,1462,1316,1705
1367,2045,1559,2331
1306,1458,1477,1714
2206,2101,2395,2382
2353,237,2537,503
1037,2048,1238,2331
1156,239,1329,496
661,246,820,489
401,2015,578,2292
2065,863,2261,1131
2237,851,2439,1135
1664,245,1833,499
2045,2108,2236,2382
