446,1226,667,1508
274,1204,484,1500
2345,1668,2562,2039
1985,1676,2193,2029
1782,1224,2003,1509
1808,1690,2020,2037
836,1219,1050,1502
1587,1212,1807,1508
303,629,514,950
309,1700,510,2041
499,661,718,953
1425,1690,1649,2027
661,1698,887,2021
1636,1679,1852,2035
1234,1196,1438,1515
2331,1213,2571,1501
482,1724,700,2033
2214,665,2419,971
1033,1195,1239,1501
1243,1697,1455,2028
699,665,911,950
2182,1669,2379,2038
2368,83,2574,434
644,1218,852,1508
2026,667,2237,968
1050,1731,1263,2029
1398,1195,1604,1513
2131,1233,2361,1506
886,652,1100,938
1832,669,2039,971
703,110,915,423
503,98,728,412
1662,675,1869,959
1958,1231,2192,1506
2187,86,2391,425
1270,654,1485,958
1478,666,1681,962
1817,140,2021,427
1644,134,1840,428
853,1713,1073,2021
1103,639,1314,941
2387,658,2571,978
