1816,1609,2046,1928
554,1606,790,1910
2458,383,2685,746
846,372,1073,731
1267,329,1484,740
1475,393,1684,735
1865,417,2079,733
1671,409,1879,724
771,1607,1003,1907
331,1599,575,1914
2279,1012,2497,1330
2071,1027,2295,1320
2261,388,2473,729
1603,1604,1826,1925
1054,325,1286,735
1204,1581,1428,1916
130,1602,379,1920
2476,1001,2699,1344
993,1591,1216,1917
441,386,655,717
193,978,421,1299
1270,1012,1491,1337
2074,409,2280,737
641,382,859,725
2222,1656,2453,1928
622,1005,859,1306
1880,1024,2105,1321
409,1004,638,1303
2427,1636,2685,1927
2025,1640,2246,1930
1399,1586,1613,1922
1687,1027,1903,1322
1050,1015,1273,1331
833,1002,1071,1304
1488,1019,1706,1323
