2591,951,2884,1355
2324,968,2615,1351
2077,973,2360,1342
636,1714,892,2100
1834,976,2102,1343
1831,1745,2111,2148
861,1710,1114,2104
1066,957,1333,1361
1095,1718,1366,2108
2317,1760,2620,2174
2071,1747,2363,2159
617,973,869,1371
1560,978,1826,1354
2623,70,2913,507
2618,1760,2863,2148
1612,205,1877,540
418,1707,666,2093
1369,206,1618,555
1865,181,2132,529
2115,167,2382,539
1583,1733,1859,2143
2359,81,2645,514
1335,1717,1614,2120
1131,205,1383,556
375,992,642,1373
154,991,417,1375
190,1694,458,2096
916,224,1136,579
693,233,917,573
