1740,859,1979,1244
1494,829,1727,1235
1422,1554,1665,1869
1021,897,1263,1244
1272,831,1507,1242
1659,1549,1889,1871
757,1532,994,1876
794,902,1032,1227
1961,867,2189,1239
981,1525,1218,1873
1686,252,1964,597
1203,1522,1437,1867
570,863,810,1227
1469,232,1716,605
2166,835,2415,1240
114,876,363,1239
1235,229,1473,610
355,891,591,1236
1917,256,2205,603
1878,1483,2115,1856
1001,220,1249,599
2393,841,2642,1242
290,1471,540,1865
2156,250,2421,609
539,1537,769,1871
2316,1520,2586,1851
758,242,1001,581
2543,1523,2801,1858
2384,265,2663,614
